Subject,Group,Phase,Entropy
1,NT,Preparation,2.36204975587243
1,NT,Preparation,2.14383256388912
1,NT,Preparation,2.18698487475689
1,NT,Preparation,2.42053362693881
1,NT,Preparation,2.45116254338675
1,NT,Preparation,1.82138317872514
1,NT,Preparation,2.3670360850106
1,NT,Preparation,2.06015373214629
1,NT,Preparation,1.88814984709903
1,NT,Preparation,2.23013718562466
1,NT,Preparation,2.24652173088039
1,NT,Preparation,2.0006644252723
1,NT,Lift 1,2.28643916036678
1,NT,Lift 1,2.04905729383593
1,NT,Lift 1,1.97938593543244
1,NT,Lift 1,2.2475044759682
1,NT,Lift 1,2.58606785763246
1,NT,Lift 1,2.14949269518934
1,NT,Lift 1,2.41005390295609
1,NT,Lift 1,2.54549419214548
1,NT,Lift 1,1.823146147772
1,NT,Lift 1,2.03954540716789
1,NT,Lift 1,1.83561561621367
1,NT,Lift 1,2.36809704417002
1,NT,Lift 2,1.93645522468071
1,NT,Lift 2,1.77744444873545
1,NT,Lift 2,1.94295172143835
1,NT,Lift 2,2.02545405377184
1,NT,Lift 2,1.87635813160124
1,NT,Lift 2,1.40403626646905
1,NT,Lift 2,1.1720309120615
1,NT,Lift 2,2.10636545273573
1,NT,Lift 2,2.10673283437336
1,NT,Lift 2,2.42711297257609
1,NT,Lift 2,1.70611662580926
1,NT,Lift 2,1.78179764502299
2,NT,Preparation,2.3670360850106
2,NT,Preparation,1.89358280634133
2,NT,Preparation,2.22063679797727
2,NT,Preparation,2.16658144687476
2,NT,Preparation,1.77640791909369
2,NT,Preparation,1.96036782943283
2,NT,Preparation,2.3295230109543
2,NT,Preparation,2.40414908168307
2,NT,Preparation,1.693782072408
2,NT,Preparation,2.42572523711695
2,NT,Preparation,2.58029159185135
2,NT,Lift 1,2.38708980705291
2,NT,Lift 1,1.72689844607399
2,NT,Lift 1,2.26914509544916
2,NT,Lift 1,2.20591000966441
2,NT,Lift 1,1.18937627881094
2,NT,Lift 1,1.82782633247263
2,NT,Lift 1,1.86918334800176
2,NT,Lift 1,1.73052798460624
2,NT,Lift 1,1.74297240909947
2,NT,Lift 1,1.51379645831222
2,NT,Lift 1,2.04485921686785
2,NT,Lift 2,1.76753517325019
2,NT,Lift 2,1.6984400759204
2,NT,Lift 2,1.70840125278129
2,NT,Lift 2,1.94176592439548
2,NT,Lift 2,2.11960713042796
2,NT,Lift 2,2.08659647422371
2,NT,Lift 2,2.01583447835678
2,NT,Lift 2,2.41385403436441
2,NT,Lift 2,2.06317897829027
2,NT,Lift 2,1.81822784079794
2,NT,Lift 2,2.07695881802752
3,NT,Preparation,1.34557565018841
3,NT,Preparation,1.73337721479545
3,NT,Preparation,1.66601766575229
3,NT,Preparation,2.12169859928095
3,NT,Preparation,1.94327653797627
3,NT,Preparation,1.8992705889315
3,NT,Preparation,2.48827554005923
3,NT,Preparation,1.68874819402032
3,NT,Preparation,1.7070932010377
3,NT,Preparation,1.57136988980761
3,NT,Preparation,2.4494320066607
3,NT,Preparation,2.27055352395875
3,NT,Preparation,1.73190050488809
3,NT,Lift 1,1.74753678907492
3,NT,Lift 1,1.31072928583917
3,NT,Lift 1,1.42515805624894
3,NT,Lift 1,1.03810327725893
3,NT,Lift 1,1.4168044480567
3,NT,Lift 1,1.47057921253017
3,NT,Lift 1,2.12413465343507
3,NT,Lift 1,1.80907247370217
3,NT,Lift 1,1.75220446357852
3,NT,Lift 1,1.36314826135452
3,NT,Lift 1,1.14913234406011
3,NT,Lift 1,1.635751111353
3,NT,Lift 1,1.37067629264536
3,NT,Lift 2,2.28852726045011
3,NT,Lift 2,2.03459126787554
3,NT,Lift 2,1.99416039475939
3,NT,Lift 2,1.64271071173218
3,NT,Lift 2,1.53134763378566
3,NT,Lift 2,1.47957646414653
3,NT,Lift 2,2.32101369187931
