SUBJ_NUM,SUBJ_ID,GROUP,TRIAL,PEAK_MAG,MT,PHASE,VALUE
1,222,NT,1,1059.1893012908,0.47,Acceleration,0.19
1,222,NT,1,1059.1893012908,0.47,Deceleration,0.28
1,222,NT,2,968.276144262518,0.465,Acceleration,0.205
1,222,NT,2,968.276144262518,0.465,Deceleration,0.26
1,222,NT,3,1051.55541780749,0.425,Acceleration,0.235
1,222,NT,3,1051.55541780749,0.425,Deceleration,0.19
1,222,NT,4,1036.40938527083,0.465,Acceleration,0.25
1,222,NT,4,1036.40938527083,0.465,Deceleration,0.215
1,222,NT,5,934.583051086872,0.635,Acceleration,0.42
1,222,NT,5,934.583051086872,0.635,Deceleration,0.215
1,222,NT,6,872.733341386578,0.565,Acceleration,0.255
1,222,NT,6,872.733341386578,0.565,Deceleration,0.31
1,222,NT,7,959.844772225076,0.52,Acceleration,0.26
1,222,NT,7,959.844772225076,0.52,Deceleration,0.26
1,222,NT,8,928.220173279678,0.555,Acceleration,0.295
1,222,NT,8,928.220173279678,0.555,Deceleration,0.26
1,222,NT,9,925.87198205929,0.525,Acceleration,0.24
1,222,NT,9,925.87198205929,0.525,Deceleration,0.285
1,222,NT,10,1049.47817601876,0.525,Acceleration,0.23
1,222,NT,10,1049.47817601876,0.525,Deceleration,0.295
1,222,NT,11,752.309133287851,0.555,Acceleration,0.285
1,222,NT,11,752.309133287851,0.555,Deceleration,0.27
1,222,NT,12,1043.49572342556,0.43,Acceleration,0.21
1,222,NT,12,1043.49572342556,0.43,Deceleration,0.22
2,223,NT,1,1121.52295858077,0.415,Acceleration,0.175
2,223,NT,1,1121.52295858077,0.415,Deceleration,0.24
2,223,NT,2,1084.78624876708,0.415,Acceleration,0.18
2,223,NT,2,1084.78624876708,0.415,Deceleration,0.235
2,223,NT,3,1047.1860538723,0.47,Acceleration,0.175
2,223,NT,3,1047.1860538723,0.47,Deceleration,0.295
2,223,NT,4,1054.38835677416,0.44,Acceleration,0.17
2,223,NT,4,1054.38835677416,0.44,Deceleration,0.27
2,223,NT,5,1133.63559818394,0.38,Acceleration,0.18
2,223,NT,5,1133.63559818394,0.38,Deceleration,0.2
2,223,NT,6,1120.62614636515,0.42,Acceleration,0.215
2,223,NT,6,1120.62614636515,0.42,Deceleration,0.205
2,223,NT,7,1031.81530352317,0.46,Acceleration,0.2
2,223,NT,7,1031.81530352317,0.46,Deceleration,0.26
2,223,NT,8,1048.12276804608,0.395,Acceleration,0.175
2,223,NT,8,1048.12276804608,0.395,Deceleration,0.22
2,223,NT,9,1100.0850251269,0.39,Acceleration,0.16
2,223,NT,9,1100.0850251269,0.39,Deceleration,0.23
2,223,NT,10,1190.32311438053,0.47,Acceleration,0.195
2,223,NT,10,1190.32311438053,0.47,Deceleration,0.275
2,223,NT,11,1098.80750429695,0.455,Acceleration,0.175
2,223,NT,11,1098.80750429695,0.455,Deceleration,0.28
3,226,NT,1,946.485965850167,0.46,Acceleration,0.17
3,226,NT,1,946.485965850167,0.46,Deceleration,0.29
3,226,NT,2,1144.70415822345,0.47,Acceleration,0.175
3,226,NT,2,1144.70415822345,0.47,Deceleration,0.295
3,226,NT,3,933.83903636114,0.44,Acceleration,0.2
3,226,NT,3,933.83903636114,0.44,Deceleration,0.24
3,226,NT,4,1095.09304614364,0.515,Acceleration,0.195
3,226,NT,4,1095.09304614364,0.515,Deceleration,0.32
3,226,NT,5,1036.95629500621,0.42,Acceleration,0.215
3,226,NT,5,1036.95629500621,0.42,Deceleration,0.205
3,226,NT,6,1108.74886819448,0.515,Acceleration,0.2
3,226,NT,6,1108.74886819448,0.515,Deceleration,0.315
3,226,NT,7,1137.87990827064,0.48,Acceleration,0.2
3,226,NT,7,1137.87990827064,0.48,Deceleration,0.28
3,226,NT,8,1023.30899818891,0.39,Acceleration,0.175
3,226,NT,8,1023.30899818891,0.39,Deceleration,0.215
3,226,NT,9,915.570810526417,0.405,Acceleration,0.185
3,226,NT,9,915.570810526417,0.405,Deceleration,0.22
3,226,NT,10,1038.6095027242,0.38,Acceleration,0.195
3,226,NT,10,1038.6095027242,0.38,Deceleration,0.185
3,226,NT,11,917.821300406841,0.455,Acceleration,0.205
3,226,NT,11,917.821300406841,0.455,Deceleration,0.25
3,226,NT,12,922.189224296854,0.445,Acceleration,0.175
3,226,NT,12,922.189224296854,0.445,Deceleration,0.27
3,226,NT,13,775.711294341288,0.545,Acceleration,0.28
3,226,NT,13,775.711294341288,0.545,Deceleration,0.265
4,230,NT,1,1107.35862418491,0.48,Acceleration,0.185
4,230,NT,1,1107.35862418491,0.48,Deceleration,0.295
4,230,NT,2,1113.09951363613,0.48,Acceleration,0.165
4,230,NT,2,1113.09951363613,0.48,Deceleration,0.315
4,230,NT,3,1196.96043367258,0.465,Acceleration,0.17
4,230,NT,3,1196.96043367258,0.465,Deceleration,0.295
4,230,NT,4,1159.33079016794,0.46,Acceleration,0.175
4,230,NT,4,1159.33079016794,0.46,Deceleration,0.285
4,230,NT,5,1100.15431059988,0.45,Acceleration,0.185
4,230,NT,5,1100.15431059988,0.45,Deceleration,0.265
4,230,NT,6,1170.00767890648,0.41,Acceleration,0.175
4,230,NT,6,1170.00767890648,0.41,Deceleration,0.235
4,230,NT,7,1039.96701328247,0.505,Acceleration,0.195
4,230,NT,7,1039.96701328247,0.505,Deceleration,0.31
4,230,NT,8,1151.12476355312,0.46,Acceleration,0.195
4,230,NT,8,1151.12476355312,0.46,Deceleration,0.265
4,230,NT,9,1059.32596666145,0.55,Acceleration,0.2
4,230,NT,9,1059.32596666145,0.55,Deceleration,0.35
4,230,NT,10,1184.42774730423,0.495,Acceleration,0.185
4,230,NT,10,1184.42774730423,0.495,Deceleration,0.31
4,230,NT,11,1163.10701499791,0.52,Acceleration,0.205
4,230,NT,11,1163.10701499791,0.52,Deceleration,0.315
4,230,NT,12,1023.886287904,0.505,Acceleration,0.185
4,230,NT,12,1023.886287904,0.505,Deceleration,0.32
4,230,NT,13,1092.33988621841,0.54,Acceleration,0.175
4,230,NT,13,1092.33988621841,0.54,Deceleration,0.365
4,230,NT,14,1099.94461096221,0.48,Acceleration,0.2
4,230,NT,14,1099.94461096221,0.48,Deceleration,0.28
4,230,NT,15,1086.66879913584,0.525,Acceleration,0.17
4,230,NT,15,1086.66879913584,0.525,Deceleration,0.355
4,230,NT,16,1062.12571361564,0.525,Acceleration,0.175
4,230,NT,16,1062.12571361564,0.525,Deceleration,0.35
4,230,NT,17,1030.47989339907,0.495,Acceleration,0.205
4,230,NT,17,1030.47989339907,0.495,Deceleration,0.29
4,230,NT,18,1036.56288134064,0.55,Acceleration,0.225
4,230,NT,18,1036.56288134064,0.55,Deceleration,0.325
5,234,NT,1,989.758327735078,0.445,Acceleration,0.2
5,234,NT,1,989.758327735078,0.445,Deceleration,0.245
5,234,NT,2,918.269646594226,0.435,Acceleration,0.195
5,234,NT,2,918.269646594226,0.435,Deceleration,0.24
5,234,NT,3,967.488449825766,0.445,Acceleration,0.195
5,234,NT,3,967.488449825766,0.445,Deceleration,0.25
5,234,NT,4,1071.72393458583,0.39,Acceleration,0.18
5,234,NT,4,1071.72393458583,0.39,Deceleration,0.21
5,234,NT,5,1037.28256823579,0.395,Acceleration,0.19
5,234,NT,5,1037.28256823579,0.395,Deceleration,0.205
5,234,NT,6,1012.59932421499,0.415,Acceleration,0.2
5,234,NT,6,1012.59932421499,0.415,Deceleration,0.215
5,234,NT,7,990.974692192293,0.39,Acceleration,0.19
5,234,NT,7,990.974692192293,0.39,Deceleration,0.2
5,234,NT,8,1067.38042544032,0.42,Acceleration,0.185
5,234,NT,8,1067.38042544032,0.42,Deceleration,0.235
