Subject,Group,Trial,ReactionTime
1,NT,1,0.228000000000002
1,NT,2,0.226500000000001
1,NT,3,0.216000000000001
1,NT,4,0.159500000000001
1,NT,5,-0.000500000000002387
1,NT,6,0.241
1,NT,7,0.234999999999999
1,NT,8,0.292000000000002
1,NT,9,0.1905
1,NT,10,0.272000000000006
1,NT,11,0.286000000000001
1,NT,12,0.292000000000002
2,NT,1,0.244500000000002
2,NT,2,0.2425
2,NT,3,0.209500000000002
2,NT,4,0.233000000000001
2,NT,5,0.259999999999998
2,NT,6,0.0934999999999988
2,NT,7,NaN
2,NT,8,0.203000000000003
2,NT,9,0.218000000000004
2,NT,10,0.253500000000003
2,NT,11,0.291499999999999
3,NT,1,0.220500000000001
3,NT,2,0.25
3,NT,3,0.238
3,NT,4,0.239999999999995
3,NT,5,0.208500000000001
3,NT,6,0.238500000000002
3,NT,7,0.234500000000011
3,NT,8,0.292999999999992
3,NT,9,0.257499999999993
3,NT,10,0.228999999999999
3,NT,11,0.236500000000007
3,NT,12,0.247500000000002
3,NT,13,0.0750000000000171
4,NT,1,0.386999999999993
4,NT,2,0.297499999999999
4,NT,3,0.22699999999999
4,NT,4,0.221499999999992
4,NT,5,0.25
4,NT,6,0.221000000000004
4,NT,7,0.228499999999997
4,NT,8,0.0889999999999986
4,NT,9,0.247
4,NT,10,0.221999999999994
4,NT,11,0.0925000000000011
4,NT,12,0.248500000000007
4,NT,13,0.191499999999991
4,NT,14,0.266000000000005
4,NT,15,0.203499999999991
4,NT,16,0.216999999999999
4,NT,17,0.220500000000001
4,NT,18,0.269499999999994
5,NT,1,0.323
5,NT,2,0.3385
5,NT,3,0.306999999999999
5,NT,4,0.268000000000001
5,NT,5,0.366499999999995
5,NT,6,0.248000000000005
5,NT,7,0.267499999999998
5,NT,8,0.309000000000005
5,NT,9,0.291500000000006
5,NT,10,0.0645000000000024
6,NT,1,0.299000000000007
6,NT,2,0.192999999999998
6,NT,3,0.219500000000004
6,NT,4,0.298499999999997
6,NT,5,0.201999999999998
6,NT,6,0.254500000000007
6,NT,7,0.631
6,NT,8,0.278999999999996
6,NT,9,0.134
6,NT,10,0.226500000000001
6,NT,11,0.280000000000001
6,NT,12,0.174000000000007
7,NT,1,NaN
7,NT,2,NaN
7,NT,3,0.0740000000000016
7,NT,4,0.241
7,NT,5,0.259
7,NT,6,0.226500000000001
7,NT,7,0.214999999999996
7,NT,8,0.119
7,NT,9,0.308500000000002
7,NT,10,0.0704999999999956
7,NT,11,0.383499999999998
8,NT,1,0.374500000000012
8,NT,2,0.359000000000009
8,NT,3,0.309999999999974
8,NT,4,0.545499999999976
8,NT,5,0.478499999999997
8,NT,6,0.368500000000012
8,NT,7,0.444500000000005
8,NT,8,0.377999999999986
8,NT,9,0.401999999999987
8,NT,10,0.325999999999993
9,NT,1,0.415500000000009
9,NT,2,0.106999999999999
9,NT,3,0.106999999999999
9,NT,4,0.403999999999996
9,NT,5,0.271500000000003
9,NT,6,0.443000000000012
9,NT,7,0.284499999999994
9,NT,8,0.299000000000007
9,NT,9,0.284500000000008
9,NT,10,0.367500000000007
9,NT,11,0.365999999999985
10,NT,1,0.260999999999996
10,NT,2,0.29000000000002
10,NT,3,0.345500000000015
10,NT,4,0.345500000000015
10,NT,5,0.260999999999996
10,NT,6,0.216500000000025
10,NT,7,0.191499999999991
10,NT,8,0.423500000000018
10,NT,9,0.255500000000012
10,NT,10,0.120000000000005
10,NT,11,0.216500000000025
11,NT,1,0.25
11,NT,2,0.27249999999998
11,NT,3,0.182000000000016
11,NT,4,0.203000000000003
11,NT,5,0.143000000000001
11,NT,6,0.17949999999999
11,NT,7,0.336000000000013
11,NT,8,0.343500000000006
11,NT,9,0.688999999999993
11,NT,10,0.287499999999994
11,NT,11,0.223500000000001
11,NT,12,0.28449999999998
12,NT,1,0.236999999999995
12,NT,2,0.00449999999997885
12,NT,3,0.346000000000004
12,NT,4,0.282500000000027
12,NT,5,0.307500000000005
12,NT,6,0.244499999999988
12,NT,7,0.104000000000013
12,NT,8,0.194500000000005
12,NT,9,0.382000000000005
12,NT,10,0.0604999999999905
12,NT,11,0.276499999999999
12,NT,12,0.250499999999988
12,NT,13,0.19550000000001
12,NT,14,0.371999999999986
13,NT,1,0.294499999999999
13,NT,2,0.266999999999996
13,NT,3,0.268000000000001
13,NT,4,0.3215
13,NT,5,NaN
13,NT,6,0.406999999999996
13,NT,7,0.273499999999999
13,NT,8,0.280500000000004
13,NT,9,0.289000000000001
13,NT,10,0.290000000000006
13,NT,11,0.372500000000002
13,NT,12,0.269000000000005
13,NT,13,0.390999999999991
13,NT,14,0.332999999999998
13,NT,15,0.32650000000001
14,NT,1,0.160499999999999
14,NT,2,0.268499999999989
14,NT,3,0.274000000000001
14,NT,4,0.27600000000001
14,NT,5,0.317999999999998
14,NT,6,0.283499999999989
14,NT,7,0.352500000000006
14,NT,8,0.263000000000005
14,NT,9,0.25500000000001
14,NT,10,0.34899999999999
14,NT,11,0.306999999999988
14,NT,12,0.277000000000015
14,NT,13,0.0809999999999889
14,NT,14,0.280499999999989
14,NT,15,0.249500000000012
14,NT,16,0.0464999999999804
14,NT,17,0.265500000000003
14,NT,18,0.138499999999993
14,NT,19,0.216499999999996
14,NT,20,0.253500000000003
17,NT,1,0.313000000000002
17,NT,2,NaN
17,NT,3,NaN
17,NT,4,0.390500000000003
17,NT,5,0.332999999999998
17,NT,6,0.522500000000008
17,NT,7,0.321500000000015
17,NT,8,0.345500000000015
17,NT,9,0.282499999999999
17,NT,10,0.346499999999992
17,NT,11,0.136499999999984
18,NT,1,NaN
18,NT,2,0.0305
18,NT,3,NaN
18,NT,4,NaN
18,NT,5,0.102000000000004
18,NT,6,NaN
18,NT,7,0.00150000000000716
19,NT,1,0.281
19,NT,2,0.258999999999999
19,NT,3,0.277000000000001
19,NT,4,0.2865
19,NT,5,0.205000000000002
19,NT,6,0.206
19,NT,7,0.2105
19,NT,8,NaN
19,NT,9,0.0495000000000019
19,NT,10,0.284000000000006
19,NT,11,0.375999999999998
20,NT,1,0.2795
20,NT,2,0.2835
20,NT,3,0.314
20,NT,4,0.247
20,NT,5,0.3505
20,NT,6,0.285499999999999
20,NT,7,0.236499999999999
20,NT,8,0.244499999999995
20,NT,9,0.360999999999997
20,NT,10,0.249499999999998
20,NT,11,0.271000000000001
20,NT,12,0.377499999999998
20,NT,13,0.22699999999999
20,NT,14,0.235500000000002
20,NT,15,0.329000000000008
21,NT,1,0.282500000000001
21,NT,2,0.281000000000001
21,NT,3,0.298999999999999
21,NT,4,0.247999999999998
21,NT,5,0.303000000000001
21,NT,6,0.297000000000004
21,NT,7,0.246000000000002
21,NT,8,0.289999999999999
21,NT,9,0.3005
21,NT,10,0.243499999999997
21,NT,11,0.2545
21,NT,12,0.194499999999998
21,NT,13,0.274000000000001
22,NT,1,0.2055
22,NT,2,0.1965
22,NT,3,0.0779999999999994
22,NT,4,0.193999999999999
22,NT,5,0.196000000000002
22,NT,6,0.1995
22,NT,7,0.0214999999999996
22,NT,8,NaN
22,NT,9,0.272500000000001
22,NT,10,0.264000000000003
22,NT,11,0.1905
22,NT,12,0.238500000000002
23,NT,1,0.3155
23,NT,2,0.00249999999999773
23,NT,3,0.2255
23,NT,4,0.206
23,NT,5,0.223500000000001
23,NT,6,0.0919999999999987
23,NT,7,NaN
23,NT,8,0.200000000000003
23,NT,9,0.0574999999999974
23,NT,10,0.164999999999999
23,NT,11,0.272999999999996
23,NT,12,NaN
24,NT,1,0.366000000000001
24,NT,2,0.285
24,NT,3,0.251000000000001
24,NT,4,0.201999999999998
24,NT,5,0.1875
24,NT,6,0.271500000000003
24,NT,7,0.220999999999997
24,NT,8,0.146000000000001
24,NT,9,0.0754999999999981
24,NT,10,0.233499999999999
24,NT,11,0.286500000000004
24,NT,12,0.147499999999994
24,NT,13,0.228499999999997
25,ASD,1,0.232500000000002
25,ASD,2,0.203999999999994
25,ASD,3,0.1935
25,ASD,4,0.216499999999996
25,ASD,5,0.120499999999993
25,ASD,6,0.195499999999996
25,ASD,7,0.268500000000003
25,ASD,8,0.211500000000001
25,ASD,9,0.102499999999992
25,ASD,10,0.261499999999984
25,ASD,11,0.171999999999997
25,ASD,12,0.209499999999991
25,ASD,13,0.252499999999998
25,ASD,14,0.290500000000009
26,ASD,1,0.225000000000023
26,ASD,2,0.163499999999999
26,ASD,3,0.296500000000009
26,ASD,4,0.174499999999995
26,ASD,5,0.318999999999988
26,ASD,6,0.360500000000002
26,ASD,7,0.0264999999999986
26,ASD,8,0.0264999999999986
26,ASD,9,0.275499999999994
27,ASD,1,0.304000000000002
27,ASD,2,0.401499999999999
27,ASD,3,0.300000000000011
27,ASD,4,NaN
27,ASD,5,0.26400000000001
27,ASD,6,NaN
27,ASD,7,NaN
27,ASD,8,0.403999999999996
27,ASD,9,NaN
27,ASD,10,0.0255000000000223
27,ASD,11,NaN
28,ASD,1,0.222499999999997
28,ASD,2,0.207499999999996
28,ASD,3,0.253500000000003
28,ASD,4,0.234000000000009
28,ASD,5,0.212500000000006
28,ASD,6,0.252499999999998
28,ASD,7,0.19550000000001
28,ASD,8,0.196000000000026
28,ASD,9,0.239499999999992
28,ASD,10,0.263999999999982
28,ASD,11,0.224999999999994
28,ASD,12,0.252500000000026
28,ASD,13,0.290500000000009
28,ASD,14,0.308500000000009
28,ASD,15,0.392499999999984
28,ASD,16,0.184500000000014
28,ASD,17,0.26400000000001
28,ASD,18,0.105499999999978
29,ASD,1,0.337000000000003
29,ASD,2,0.293499999999995
29,ASD,3,0.267499999999998
29,ASD,4,0.281999999999996
29,ASD,5,NaN
29,ASD,6,NaN
29,ASD,7,0.323499999999996
29,ASD,8,0.227499999999992
29,ASD,9,0.292000000000002
29,ASD,10,0.358000000000004
29,ASD,11,0.396500000000003
29,ASD,12,0.348000000000013
29,ASD,13,0.267500000000013
29,ASD,14,0.144000000000005
29,ASD,15,0.240000000000009
29,ASD,16,0.358499999999992
29,ASD,17,0.222999999999985
29,ASD,18,0.491500000000002
30,ASD,1,NaN
30,ASD,2,0.153999999999996
30,ASD,3,NaN
30,ASD,4,NaN
30,ASD,5,0.236500000000007
30,ASD,6,0.192499999999995
30,ASD,7,0.258499999999998
30,ASD,8,0.118000000000023
31,ASD,1,0.2705
31,ASD,2,0.209499999999998
31,ASD,3,0.271999999999998
31,ASD,4,0.259
31,ASD,5,0.257000000000005
31,ASD,6,0.232500000000002
31,ASD,7,0.269499999999994
31,ASD,8,0.270000000000003
31,ASD,9,0.200000000000003
32,ASD,1,0.2965
32,ASD,2,0.266999999999999
32,ASD,3,0.2895
32,ASD,4,0.122999999999998
32,ASD,5,0.298000000000002
32,ASD,6,0.155500000000004
32,ASD,7,-0.000500000000002387
32,ASD,8,0.260999999999996
32,ASD,9,0.3005
33,ASD,1,0.148000000000001
33,ASD,2,NaN
33,ASD,3,0.0555000000000021
33,ASD,4,0.1815
33,ASD,5,0.103999999999999
33,ASD,6,0.252500000000005
33,ASD,7,0.205999999999996
33,ASD,8,0.266000000000005
33,ASD,9,0.326499999999996
34,ASD,1,0.241
